id,naam,productLabel,maatschappijId,isRetention,isClosable,contractSoort,contractKind,elektraTariefType,gasTariefType,looptijd,contractDurationMonths,looptijdText,smartMeterRequired,toonAkkoordSlimmeMeter,inzichtelijk,helptBesparen,overigeDiensten,additionalConsentQuestion,actieToelichting,elektraGroenIndex,gasGroenIndex,priceQualityScore,priceQualityScoreWithDiscount,bestChoiceIndex,bestChoiceIndexWithDiscount,aandachtspunten,contractTermAmounts_monthlyTermAmounts_termExclDiscountExclTaxReduction,contractTermAmounts_monthlyTermAmounts_termExclDiscountInclTaxReduction,contractTermAmounts_monthlyTermAmounts_termInclDiscountExclTaxReduction,contractTermAmounts_monthlyTermAmounts_termInclDiscountInclTaxReduction,contractTermAmounts_yearlyTermAmounts_termExclDiscountExclTaxReduction,contractTermAmounts_yearlyTermAmounts_termExclDiscountInclTaxReduction,contractTermAmounts_yearlyTermAmounts_termInclDiscountExclTaxReduction,contractTermAmounts_yearlyTermAmounts_termInclDiscountInclTaxReduction,scoreOverview_averageScore,scoreOverview_numberOfReviews,scoreOverview_hasEnoughReviewsToShow,prijsdetails_stroomLeveringstarief,prijsdetails_stroomLeveringstariefHoog,prijsdetails_stroomLeveringstariefLaag,prijsdetails_stroomVasteLeveringskosten,prijsdetails_stroomTerugleververgoeding,prijsdetails_stroomTerugleververgoedingHoog,prijsdetails_stroomTerugleververgoedingLaag,prijsdetails_stroomVasteTerugleveringskosten,prijsdetails_stroomDynamischLeveringstarief,prijsdetails_stroomInkoopvergoeding,prijsdetails_electricityFeedInCostPerKWh,prijsdetails_gasLeveringstarief,prijsdetails_gasVasteLeveringskosten,prijsdetails_gasDynamischLeveringstarief,prijsdetails_gasInkoopvergoeding,prijsdetails_extraKosten,prijsdetails_electricityTotalAnnualCost,prijsdetails_gasTotalAnnualCost,bonusTekstLang,bonusTekst,discountAmount
10066,Flexcontract Nederlandse Groene Stroom en CO2-gecompenseerd Gas,1 maand,78,False,True,ElektraEnGas,Variabel,Variabel,Variabel,VrijOpzegbaar,1,1 maand,False,False,True,True,True,,,2,1,-11.6826889458,-11.6826889458,0,0,[],76.77,23.83,76.77,23.83,921.19,286.0,921.19,286.0,7.1,155,True,0.0,0.22995,0.22995,7.0,0.01653,0.01653,0.01653,0.0,0.0,0.0,0.0,1.121955,7.0,0.0,0.0,0.0,-74.7745,360.773995,,,
12098,Nederlandse Groene stroom en Gas met CO2 compensatie Flex,1 maand,70,False,True,ElektraEnGas,Variabel,Variabel,Variabel,VrijOpzegbaar,1,1 maand,False,False,True,True,True,,,2,1,-16.2809883656,-16.2809883656,2,2,[],81.56,28.62,81.56,28.62,978.69,343.5,978.69,343.5,7.6,27,True,0.0,0.228215,0.245728,8.57083875,0.024584,0.024584,0.024584,0.0,0.0,0.0,0.0,1.330812,8.57083875,0.0,0.0,0.0,-54.714571,398.212333,,,0.0
10079,Nederlandse Windstroom & Aardgas met Natuur voor Morgen Variabel,1 maand,17,False,True,ElektraEnGas,Variabel,Variabel,Variabel,VrijOpzegbaar,1,Onbepaalde tijd,False,False,True,True,True,,,2,1,-17.3470881722,-17.3470881722,3,3,"['Je betaalt de tarieven die je hier ziet voor één maand vanaf het begin van de levering. Na deze datum geldt een contract voor onbepaalde tijd met een opzegtermijn van 30 dagen. De op dat moment geldende variabele tarieven voor groene stroom en voor bosgecompenseerd gas zijn dan van toepassing.  Greenchoice zal uiterlijk 30 dagen voordat deze nieuwe tarieven ingaan, je hierover per e-mail informeren. Het contract is zonder boete op ieder moment opzegbaar.']",82.68,29.75,82.68,29.75,992.14,356.95,992.14,356.95,7.7,2180,True,0.0,0.24643,0.25853,9.32,0.16,0.16,0.16,0.0,0.0,0.0,0.0,1.41882,8.188333333333333,0.0,0.0,0.0,-44.5075,401.45498,,,
11359,100% Nederlandse Zonnestroom en Gas met CO2 compensatie Variabel Energiezuinig,1 maand,45,False,True,ElektraEnGas,Variabel,Variabel,Variabel,VrijOpzegbaar,1,1 maand,False,False,True,True,True,,,2,1,-13.2109883656,-13.2109883656,1,1,[],78.48,25.55,78.48,25.55,941.77,306.58,941.77,306.58,7.6,77,True,0.0,0.224742,0.223532,8.0,0.134,0.134,0.134,0.0,0.0,0.0,0.0,1.157313,7.5,0.0,0.0,0.0,-63.3376,369.920857,,,
