id,naam,productLabel,maatschappijId,isRetention,isClosable,contractSoort,contractKind,elektraTariefType,gasTariefType,looptijd,contractDurationMonths,looptijdText,bonusTekstLang,bonusTekst,discountAmount,smartMeterRequired,toonAkkoordSlimmeMeter,inzichtelijk,helptBesparen,overigeDiensten,additionalConsentQuestion,segment,actieToelichting,elektraGroenIndex,gasGroenIndex,priceQualityScore,priceQualityScoreWithDiscount,bestChoiceIndex,bestChoiceIndexWithDiscount,aandachtspunten,vendorName,contractTermAmounts_monthlyTermAmounts_termExclDiscountExclTaxReduction,contractTermAmounts_monthlyTermAmounts_termExclDiscountInclTaxReduction,contractTermAmounts_monthlyTermAmounts_termInclDiscountExclTaxReduction,contractTermAmounts_monthlyTermAmounts_termInclDiscountInclTaxReduction,contractTermAmounts_yearlyTermAmounts_termExclDiscountExclTaxReduction,contractTermAmounts_yearlyTermAmounts_termExclDiscountInclTaxReduction,contractTermAmounts_yearlyTermAmounts_termInclDiscountExclTaxReduction,contractTermAmounts_yearlyTermAmounts_termInclDiscountInclTaxReduction,scoreOverview_averageScore,scoreOverview_numberOfReviews,scoreOverview_hasEnoughReviewsToShow,prijsdetails_stroomLeveringstarief,prijsdetails_stroomLeveringstariefHoog,prijsdetails_stroomLeveringstariefLaag,prijsdetails_stroomVasteLeveringskosten,prijsdetails_stroomTerugleververgoeding,prijsdetails_stroomTerugleververgoedingHoog,prijsdetails_stroomTerugleververgoedingLaag,prijsdetails_stroomVasteTerugleveringskosten,prijsdetails_stroomDynamischLeveringstarief,prijsdetails_stroomInkoopvergoeding,prijsdetails_electricityFeedInCostPerKWh,prijsdetails_gasLeveringstarief,prijsdetails_gasVasteLeveringskosten,prijsdetails_gasDynamischLeveringstarief,prijsdetails_gasInkoopvergoeding,prijsdetails_extraKosten,prijsdetails_electricityTotalAnnualCost,prijsdetails_gasTotalAnnualCost
11488,Dynamisch HollandseWind en Zon met Gas 1 jaar,Dynamisch,10,False,True,ElektraEnGas,Dynamisch,Dynamisch,Vast,EenJaar,12,1 jaar,Bij dit contract betaal je voor stroom een dynamische prijs die afhangt van je verbruik en de beursprijzen. Voor gas betaal je een vaste prijs die gedurende je contract niet verandert. Het contract voor gas met vaste leveringstarieven kan niet tussentijds kosteloos worden opgezegd. Het deel voor dynamische stroom kan wél tussentijds en kosteloos worden opgezegd.,,0.0,True,False,True,True,True,"Je hebt een slimme meter nodig om gebruik te maken van een dynamisch tarief. Hierbij verklaar je dat je een slimme meter hebt en geef je toestemming aan Eneco om de meterstanden voor stroom dagelijks per kwartier op te vragen bij jouw netbeheerder. De gegevens worden gebruikt voor het slim inkopen van energie, het berekenen van je verbruik en kosten op de jaarnota.",C,,2,0,-14.8704893326,-14.8704893326,1,1,['Bij dit contract betaal je voor stroom een dynamische prijs die afhangt van je verbruik en de beursprijzen. Voor gas betaal je een vaste prijs die gedurende je contract niet verandert. Het contract voor gas met vaste leveringstarieven kan niet tussentijds kosteloos worden opgezegd. Het deel voor dynamische stroom kan wél tussentijds en kosteloos worden opgezegd.'],Eneco,79.83,26.89,79.83,26.89,957.91,322.72,957.91,322.72,7.1,94,True,0.0,0.0,0.0,8.99,0.08901381,0.0,0.0,0.0,0.23056672,0.02923,0.0,1.22136,7.99,0.0,0.0,0.0,-45.35053128,368.06608
12780,Dynamisch + 1 jaar Zeker Gas,Dynamisch,79,False,True,ElektraEnGas,Dynamisch,Dynamisch,Vast,EenJaar,12,1 jaar,,,,True,False,True,True,True,"Je hebt een slimme meter nodig om gebruik te maken van een dynamisch tarief. Hierbij verklaar je dat je een slimme meter hebt en geef je toestemming aan Coolblue Energie om de meterstanden voor stroom dagelijks per kwartier op te vragen bij jouw netbeheerder. De gegevens worden gebruikt voor het slim inkopen van energie, het berekenen van je verbruik en kosten op de jaarnota.",,,2,1,-13.814888559,-13.814888559,0,0,['Bij dit contract betaal je voor stroom een dynamische prijs die afhangt van je verbruik en de beursprijzen. Voor gas betaal je een vaste prijs die gedurende je contract niet verandert. Let op: Dit contract kan niet tussentijds kosteloos worden opgezegd.'],Cool Blue Energy,79.02,26.09,79.02,26.09,948.22,313.03,948.22,313.03,7.5,111,True,0.0,0.0,0.0,7.49958,0.08901381,0.0,0.0,0.0,0.23056672,0.02,0.0,1.259921,8.5,0.0,0.0,0.0,-64.16780128,377.193838
